domgi	accession	taxid	taxOrg	nPig	nGi
200311	TIGR03687	1883	Streptomyces	131	605
200311	TIGR03687	1883427	Actinobacteria bacterium	41	49
200311	TIGR03687	1762	Mycobacteriaceae	28	935
200311	TIGR03687	2053607	Candidatus Rokubacteria bacterium	28	44
200311	TIGR03687	1763	Mycobacterium	26	229
200311	TIGR03687	1773	Mycobacterium tuberculosis	24	40
200311	TIGR03687	1716	Corynebacterium	23	178
200311	TIGR03687	1663	Arthrobacter	20	60
200311	TIGR03687	1827	Rhodococcus	18	259
200311	TIGR03687	216816	Bifidobacterium longum	16	291
200311	TIGR03687	1654	Actinomyces	16	106
200311	TIGR03687	544580	Actinomyces oris	13	28
200311	TIGR03687	1873	Micromonospora	12	92
200311	TIGR03687	2026887	Nitrospirae bacterium	12	12
200311	TIGR03687	1685	Bifidobacterium breve	11	85
200311	TIGR03687	1760	Actinobacteria	11	82
200311	TIGR03687	1655	Actinomyces naeslundii	11	38
200311	TIGR03687	1839	Nocardioides	11	26
200311	TIGR03687	1268	Micrococcaceae	10	51
200311	TIGR03687	1817	Nocardia	9	39
200311	TIGR03687	1854	Frankia	9	38
200311	TIGR03687	1684	Bifidobacterium asteroides	9	18
200311	TIGR03687	351187	Salinispora pacifica	8	8
200311	TIGR03687	2026781	Candidatus Poribacteria bacterium	8	8
200311	TIGR03687	1717	Corynebacterium diphtheriae	7	240
200311	TIGR03687	1719	Corynebacterium pseudotuberculosis	7	102
200311	TIGR03687	1270	Micrococcus luteus	7	17
200311	TIGR03687	1694	Bifidobacterium pseudolongum	6	73
200311	TIGR03687	2062	Streptomycetaceae	6	73
200311	TIGR03687	1696	Brevibacterium	6	43
200311	TIGR03687	32207	Rothia	5	61
200311	TIGR03687	1681	Bifidobacterium bifidum	5	32
200311	TIGR03687	57493	Kocuria	5	25
200311	TIGR03687	2053	Gordonia	5	22
200311	TIGR03687	1678	Bifidobacterium	5	18
200311	TIGR03687	2051	Mobiluncus curtisii	5	16
200311	TIGR03687	1988	Actinomadura	5	12
200311	TIGR03687	419015	Alloscardovia omnicolens	5	7
200311	TIGR03687	1978231	Acidobacteria bacterium	5	7
200311	TIGR03687	70125	Nitrospira sp.	5	5
200311	TIGR03687	2201155	Pseudonocardiales bacterium	5	5
200311	TIGR03687	28026	Bifidobacterium pseudocatenulatum	4	64
200311	TIGR03687	1813	Amycolatopsis	4	34
200311	TIGR03687	65058	Corynebacterium ulcerans	4	33
200311	TIGR03687	1269	Micrococcus	4	21
200311	TIGR03687	37914	Dietzia	4	14
200311	TIGR03687	38289	Corynebacterium jeikeium	4	12
200311	TIGR03687	52770	Actinomyces hordeovulneris	4	10
200311	TIGR03687	72000	Kocuria rhizophila	4	9
200311	TIGR03687	208480	Actinomyces nasicola	4	8
200311	TIGR03687	1274	Dermacoccus nishinomiyaensis	4	7
200311	TIGR03687	2026735	Deltaproteobacteria bacterium	4	5
200311	TIGR03687	2201156	Acidimicrobiales bacterium	4	4
200311	TIGR03687	83332	Mycobacterium tuberculosis H37Rv	3	4478
200311	TIGR03687	36809	Mycobacteroides abscessus	3	889
200311	TIGR03687	28025	Bifidobacterium animalis	3	74
200311	TIGR03687	28056	Micromonosporaceae	3	19
200311	TIGR03687	1778	Mycobacterium gordonae	3	14
200311	TIGR03687	1835	Saccharopolyspora	3	14
200311	TIGR03687	1275	Kocuria rosea	3	10
200311	TIGR03687	83681	Nonomuraea	3	10
