domgi	accession	taxid	taxOrg	nPig	nGi
334026	pfam00352	1313	Streptococcus pneumoniae	361	19567
334026	pfam00352	2026714	Candidatus Bathyarchaeota archaeon	108	125
334026	pfam00352	2026739	Euryarchaeota archaeon	73	87
334026	pfam00352	2163009	Marine Group II euryarchaeote	50	54
334026	pfam00352	28037	Streptococcus mitis	47	94
334026	pfam00352	1906666	Thermoplasmata archaeon	46	58
334026	pfam00352	2053489	Candidatus Lokiarchaeota archaeon	40	40
334026	pfam00352	2026795	Thaumarchaeota archaeon	38	43
334026	pfam00352	2250277	Thermoprotei archaeon	34	46
334026	pfam00352	3880	Medicago truncatula	30	42
334026	pfam00352	112090	Aphanomyces astaci	27	40
334026	pfam00352	9606	Homo sapiens	25	273
334026	pfam00352	137771	uncultured diatom	23	25
334026	pfam00352	39947	Oryza sativa Japonica Group	20	35
334026	pfam00352	4577	Zea mays	19	32
334026	pfam00352	91943	Hortaea werneckii	19	25
334026	pfam00352	2250254	Thermococci archaeon	18	23
334026	pfam00352	7227	Drosophila melanogaster	17	108
334026	pfam00352	4639	Ensete ventricosum	17	23
334026	pfam00352	3848	Glycine soja	16	19
334026	pfam00352	2053491	Candidatus Thorarchaeota archaeon	16	18
334026	pfam00352	56688	Halorubrum	15	98
334026	pfam00352	257758	Streptococcus pseudopneumoniae	15	30
334026	pfam00352	3708	Brassica napus	14	22
334026	pfam00352	3469	Papaver somniferum	14	21
334026	pfam00352	7229	Drosophila miranda	14	14
334026	pfam00352	2026803	Candidatus Woesearchaeota archaeon	14	14
334026	pfam00352	7245	Drosophila yakuba	13	42
334026	pfam00352	905079	Guillardia theta CCMP2712	13	28
334026	pfam00352	6565	Crassostrea virginica	13	17
334026	pfam00352	59895	Cynara cardunculus var. scolymus	13	14
334026	pfam00352	299467	Leptotrombidium deliense	13	13
334026	pfam00352	2251	Haloferax	12	75
334026	pfam00352	29730	Gossypium raimondii	12	51
334026	pfam00352	2242	Halobacterium salinarum	12	40
334026	pfam00352	3847	Glycine max	12	35
334026	pfam00352	158441	Folsomia candida	12	20
334026	pfam00352	90675	Camelina sativa	12	17
334026	pfam00352	2056630	Candidatus Korarchaeota archaeon	12	15
334026	pfam00352	7240	Drosophila simulans	11	386
334026	pfam00352	2207	Methanosarcina	11	111
334026	pfam00352	10090	Mus musculus	11	24
334026	pfam00352	9598	Pan troglodytes	11	22
334026	pfam00352	4236	Lactuca sativa	11	13
334026	pfam00352	214687	Musa acuminata subsp. malaccensis	11	13
334026	pfam00352	2093792	Candidatus Aenigmarchaeota archaeon	11	13
334026	pfam00352	35608	Artemisia annua	11	11
334026	pfam00352	2250255	Methanosarcinales archaeon	11	11
334026	pfam00352	4932	Saccharomyces cerevisiae	10	23
334026	pfam00352	30019	Drosophila busckii	10	19
334026	pfam00352	77166	Dendroctonus ponderosae	10	16
334026	pfam00352	105785	Cryptotermes secundus	10	15
334026	pfam00352	9823	Sus scrofa	10	13
334026	pfam00352	68888	Trichuris suis	10	13
334026	pfam00352	74649	Rosa chinensis	10	11
334026	pfam00352	32264	Tetranychus urticae	10	10
334026	pfam00352	53326	Ancylostoma ceylanicum	10	10
334026	pfam00352	8355	Xenopus laevis	9	21
334026	pfam00352	157072	Aphanomyces invadans	9	18
334026	pfam00352	7962	Cyprinus carpio	9	15
334026	pfam00352	28532	Tarenaya hassleriana	9	15
334026	pfam00352	3750	Malus domestica	9	12
334026	pfam00352	28612	Rhagoletis zephyria	9	12
334026	pfam00352	218851	Aquilegia coerulea	9	11
334026	pfam00352	244447	Cynoglossus semilaevis	9	11
334026	pfam00352	1906665	archaeon	9	11
334026	pfam00352	109478	Myotis brandtii	9	10
334026	pfam00352	8081	Poecilia reticulata	9	9
334026	pfam00352	66656	Durio zibethinus	9	9
334026	pfam00352	8839	Anas platyrhynchos	8	64
334026	pfam00352	9031	Gallus gallus	8	23
334026	pfam00352	7244	Drosophila virilis	8	20
334026	pfam00352	3711	Brassica rapa	8	19
334026	pfam00352	9601	Pongo abelii	8	18
334026	pfam00352	10116	Rattus norvegicus	8	18
334026	pfam00352	4558	Sorghum bicolor	8	16
334026	pfam00352	7217	Drosophila ananassae	8	16
334026	pfam00352	293091	Haloquadratum walsbyi	8	16
334026	pfam00352	13443	Coffea arabica	8	15
334026	pfam00352	9913	Bos taurus	8	14
334026	pfam00352	660517	Halobellus clavatus	8	13
334026	pfam00352	7232	Drosophila navojoa	8	11
334026	pfam00352	8187	Lates calcarifer	8	11
334026	pfam00352	48699	Poecilia latipinna	8	10
334026	pfam00352	113540	Scleropages formosus	8	10
334026	pfam00352	3818	Arachis hypogaea	8	9
334026	pfam00352	52904	Scophthalmus maximus	8	9
334026	pfam00352	66420	Papilio xuthus	8	9
334026	pfam00352	34508	Steinernema carpocapsae	8	8
334026	pfam00352	3702	Arabidopsis thaliana	7	64
334026	pfam00352	5580	Aureobasidium pullulans	7	49
334026	pfam00352	1301	Streptococcus	7	45
334026	pfam00352	338191	Nitrosopumilus	7	23
334026	pfam00352	39152	Methanococcus maripaludis	7	19
334026	pfam00352	7029	Acyrthosiphon pisum	7	17
334026	pfam00352	7955	Danio rerio	7	17
334026	pfam00352	8167	Perca flavescens	7	17
334026	pfam00352	7160	Aedes albopictus	7	16
334026	pfam00352	13164	Myzus persicae	7	16
334026	pfam00352	7243	Drosophila teissieri	7	15
334026	pfam00352	7222	Drosophila grimshawi	7	14
334026	pfam00352	143948	Diuraphis noxia	7	14
334026	pfam00352	1544718	Haloferax sp. SB29	7	14
334026	pfam00352	215358	Larimichthys crocea	7	12
334026	pfam00352	325452	Phytophthora kernoviae	7	12
334026	pfam00352	7957	Carassius auratus	7	11
334026	pfam00352	13333	Amborella trichopoda	7	11
334026	pfam00352	76193	Papilio machaon	7	11
334026	pfam00352	1608454	Sinocyclocheilus anshuiensis	7	11
334026	pfam00352	2026886	Nitrosarchaeum sp.	7	11
334026	pfam00352	63459	Chenopodium quinoa	7	10
334026	pfam00352	1965070	Dinothrombium tinctorium	7	10
334026	pfam00352	3641	Theobroma cacao	7	9
334026	pfam00352	7234	Drosophila persimilis	7	9
334026	pfam00352	31234	Caenorhabditis remanei	7	9
334026	pfam00352	516756	Eufriesea mexicana	7	9
334026	pfam00352	660518	Halorientalis regularis	7	9
334026	pfam00352	6689	Penaeus vannamei	7	8
334026	pfam00352	8128	Oreochromis niloticus	7	8
334026	pfam00352	30732	Oryzias melastigma	7	8
334026	pfam00352	57397	Apaloderma vittatum	7	8
334026	pfam00352	59463	Myotis lucifugus	7	8
334026	pfam00352	101020	Fragaria vesca subsp. vesca	7	8
334026	pfam00352	1611254	Caenorhabditis nigoni	7	8
334026	pfam00352	2056317	ANME-2 cluster archaeon	7	8
334026	pfam00352	2250256	Candidatus Altiarchaeales archaeon	7	8
334026	pfam00352	7282	Drosophila obscura	7	7
334026	pfam00352	8036	Salvelinus alpinus	7	7
334026	pfam00352	10181	Heterocephalus glaber	7	7
334026	pfam00352	48701	Poecilia mexicana	7	7
334026	pfam00352	55661	Cuculus canorus	7	7
334026	pfam00352	93759	Corchorus olitorius	7	7
334026	pfam00352	947166	Ramazzottius varieornatus	7	7
334026	pfam00352	2282654	Saliphagus sp. LR7	7	7
334026	pfam00352	94893	Arizona elegans	6	105
